2.1265;2.61691;2.91872;2.63078;2.63112;2.92062;2.80364;2.1265;2.61691;2.91872;2.63078;2.63112;2.92062;2.80364;2.1265;2.61693;2.91869;2.63076;2.63111;2.92062;2.80362;2.27653;
2.12644;2.61735;2.91624;2.6288;2.62929;2.91891;2.80318;2.27659;
2.12644;2.61735;2.91624;2.6288;2.62929;2.91891;2.80318;2.27659;
2.12644;2.61735;2.91624;2.6288;2.62929;2.91891;2.80318;2.27659;
2.12638;2.6177;2.90956;2.62297;2.62358;2.91286;2.8028;2.27664;
2.12645;2.61832;2.89889;2.61358;2.61434;2.90301;2.80214;2.27658;
2.12645;2.61832;2.89889;2.61358;2.61434;2.90301;2.80214;2.27658;
2.12646;2.61835;2.888;2.6037;2.60446;2.89212;2.80211;2.27657;
2.12646;2.61835;2.888;2.6037;2.60446;2.89212;2.80211;2.27657;
2.12648;2.6183;2.87734;2.59398;2.59472;2.88133;2.80217;2.27654;
2.12648;2.6183;2.87734;2.59398;2.59472;2.88133;2.80217;2.27654;
2.12651;2.61826;2.86665;2.58424;2.58496;2.87053;2.80221;2.27651;
2.12653;2.6181;2.85604;2.5745;2.57516;2.85962;2.80238;2.2765;
2.12653;2.6181;2.85604;2.5745;2.57516;2.85962;2.80238;2.2765;
2.12653;2.6181;2.85604;2.5745;2.57516;2.85962;2.80238;2.2765;
2.12654;2.61792;2.84545;2.56478;2.56539;2.84873;2.80258;2.27649;
2.12656;2.61783;2.83477;2.55503;2.5556;2.83788;2.80267;2.27647;
2.12656;2.61783;2.83477;2.55503;2.5556;2.83788;2.80267;2.27647;
2.1266;2.61773;2.82417;2.54533;2.54586;2.82706;2.80278;2.27643;
2.1266;2.61773;2.82417;2.54533;2.54586;2.82706;2.80278;2.27643;
2.12661;2.61715;2.81387;2.53566;2.53602;2.81586;2.8034;2.27642;
2.12658;2.61613;2.80387;2.52606;2.52614;2.80439;2.80449;2.27645;
2.12658;2.61613;2.80387;2.52606;2.52614;2.80439;2.80449;2.27645;
2.12659;2.61488;2.79406;2.51647;2.51622;2.79271;2.80583;2.27644;
2.12659;2.61488;2.79406;2.51647;2.51622;2.79271;2.80583;2.27644;
2.12669;2.61315;2.7846;2.50691;2.50615;2.78054;2.8077;2.27634;
2.12678;2.6112;2.77549;2.49754;2.4962;2.76838;2.80982;2.27623;
2.12678;2.6112;2.77549;2.49754;2.4962;2.76838;2.80982;2.27623;
2.12696;2.60925;2.76655;2.48828;2.48635;2.75628;2.81196;2.27604;
